"Exchange, Inc.",Tobacco,,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,Energy,
Tyson Foods Inc,TSN,New York Stock,Mid Value,"Food, Beverage &",Foods,,,,,,
,,,,,,Exxon Mobil Corp,XOM,New York Stock,Large Value,Non-renewable,Oil: Integrated
"Exchange, Inc.",Tobacco,,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,Energy,
Unilever PLC,ULVR,London Stock Exchange,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,,,,,Glencore PLC,GLEN,London Stock Exchange,Large Blend,Non-renewable,Coal
& Grocery Stores,,,,,,,,,,,
,,,,,,,,,,Energy,
Unilever PLC,UL,New York Stock,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,,,,,Hess Corp,HES,New York Stock,Mid Blend,Non-renewable,Oil: Integrated
"Exchange, Inc.",& Grocery Stores,,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,Energy,
United Natural Foods,UNFI,New York Stock,Small Value,"Food, Beverage &",Foods,,,,,,
,,,,,,Lamprell PLC,LAM,London Stock Exchange,Small Value,Energy Equipment,Oil well equipment
Inc,"Exchange, Inc.",Tobacco,,,,,,,,,
,,,,,,,,,,& Services,and services
WD-40 Co,WDFC,Nasdaq,Small Blend,"Personal Care, Drug",Personal care,,,,,,
,,,,,,National Oilwell Varco,NOV,New York Stock,Mid Value,Energy Equipment,Oil well equipment
& Grocery Stores,,,,,,,,,,,
,,,,,,Inc,,"Exchange, Inc.",,& Services,and services
Wuliangye Yibin Co,858,Shenzhen Stock Exchange,Large Growth,"Food, Beverage &",Beverage: Brewers,,,,,,
