Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,,index
BBBY,1.8441,-0.0191,-0.5,0.1794,-0.1046,3.383656412,1,0.415772513,1.3141026
SFIX,8.4736,-0.0392,1,0,-0.1684,0.918598533,1,1.071423883,1.310039863
BECN,1.4946,-0.018,1.65,0,-0.058,3.079282897,1,0.867430632,1.30884194
THS,1.2433,-0.0451,1.8963,0,-0.0428,1.906248267,1,0.811299861,1.30741567
THS,1.2433,-0.0451,1.8963,0,-0.0428,1.906248267,1,0.811299861,1.30741567
ENDP,0,-0.0525,-0.13,0,0,-13.82075407,1,-1.025260326,1.301177084
HBIO,1.6485,-0.0774,2.89,0,-0.1044,0.980924962,1.824688129,1.089652572,1.3000399
CAKE,3.9852,-0.0584,5.1225,0.0788,-0.2333,4.156906016,0.895669777,1.941700854,1.299911866
L,0.5728,-0.0911,2.69,0.0072,-0.0804,3.489072309,1.878633585,1.166193815,1.298577712
SINA,1.0829,-0.0467,-1.96,0,0.0166,1.503707086,0.332012551,-0.227781927,1.298302268
SOHU,2.5618,-0.0771,-0.64,0,-0.0359,5.602074436,1,0.599993955,1.298121934
DB,0.2651,-0.1096,1.55,0.0192,-0.035,22.00668639,1,2.251510911,1.294610381
WNC,1.9189,-0.0334,1,0.0224,-0.1407,1.904922727,1.590272649,0.705942536,1.294020269
CAAS,0.344,0.0051,0.61,0,0.0006,1.187860498,-2.621315345,-0.044673002,1.292861287
UNFI,0.9337,-0.0103,3.74,0,-0.192,1,1,1.132248,1.287882293
UNFI,0.9337,-0.0103,3.74,0,-0.192,1,1,1.132248,1.287882293
REV,0,-0.1715,1,0,0,-2.936906684,1,0.097607465,1.285391304
BNED,0.341,-0.0304,1.1,0,-0.133,2.655322098,1,0.592241768,1.282932308
GPS,3.2036,-0.0739,4.1492,0.1398,-0.3532,5.087882823,1.067401521,1.721526808,1.27232152
IMAX,1.5003,-0.1891,2.09,0,-0.1013,1.236172784,1.006483019,0.790779785,1.271679297
ASH,1.5321,-0.0439,-1.36,0.0144,-0.149,1.318619316,0.011610443,-0.132045201,1.267110121
WORK,21.659,-0.4273,1,0,-0.4014,1.570828223,1,2.069738258,1.258208529
GOGO,0,-0.307,-0.43,0,0,-2.871323704,1,-0.262025896,1.255621956
TWTR,4.7314,-0.3706,3.64,0,-0.1539,0.638482226,0.185212708,1.235340103,1.244634472
GEC,0.9124,-0.2024,1,0,-0.1908,2.150952397,1,0.534524192,1.242504356
TWI,1.1117,-0.0584,-1.21,0.0058,-0.2861,4.730699709,1,0.231123977,1.23890673
MOV,0.6812,-0.2439,1.16,0.0748,-0.3079,0.81895036,2.793231196,0.641971772,1.231219412
PLOW,4.4223,-0.1834,1.8,0.0318,-0.3757,2.070431623,0.912099763,0.960202501,1.228287101
UAA,4.1508,-0.1521,3.1676,0,-0.395,2.515028656,0.579569988,1.259702691,1.228049387
RLH,0.3856,-0.2742,-1.33,0,-0.1711,0.18193885,1,-0.231888892,1.221942374
RAD,0.9039,-0.0151,0.87,0,-0.4823,14.9528902,1,1.498467216,1.21110393
RAD,0.9039,-0.0151,0.87,0,-0.4823,14.9528902,1,1.498467216,1.21110393
X,0.5277,-0.1614,1.68,0.0045,-0.4349,2.459773293,-0.0268779,0.526708515,1.191765897
ANF,1.2108,-0.0461,-24.52,0.069,-0.1601,3.106853705,1.169619721,-5.430149337,1.18930387
GTT,1.599,-0.0951,2.8411,0,-0.5814,23.08028455,1,2.644710764,1.187378738
M,0.8223,-0.1764,0.9128,0.2682,-0.8499,6.579173838,5.561744671,1.312579268,1.168965876
NCLH,1.0232,-0.4346,0.9247,0,-0.3861,3.041493651,0.416066961,0.450275527,1.156000261
UTSI,0.3912,-0.0596,1,0,-0.0389,0.525416381,-25.89547206,-2.811443337,1.15247315
JRJC,1.0357,-0.2457,1,0,-0.6011,3.040893025,1,0.526595442,1.146316888
TRCH,1.8089,0,1,0,-0.8236,1.139278591,1,0.431134287,1.144070485
UBER,6.2874,-0.51,1,0,-0.5273,1.884921466,1,0.826725717,1.139960935
DXC,1.1168,-0.299,0.28,0.0507,-0.7086,5.073154801,2.100142312,0.630937462,1.124798553
FL,1.6547,0.0262,-71.36,0.0158,0.0789,1.876404494,1.114725285,-16.68827661,1.12157529
DJCO,3.2802,-0.8089,1,0,-0.3104,0.801998944,0.057298251,0.381947706,1.11533523
LYFT,3.4788,-0.5064,1,0,-0.5938,1.270546936,1,0.540163755,1.113374474
TSLA,41.6489,0.0143,1.0393,0,0.0518,2.714764079,-5.92317E+13,-7.10781E+12,1.109035326
ZGNX,2.7919,0,-0.42,0,-0.9776,0.370150786,1,0.076644063,1.10878234
DAL,5.9537,-0.4288,10.1656,0.0698,-1.1432,22.55555556,1.783418989,4.645622723,1.074871005
PCG,5.8814,-0.3795,1.592,0,-0.9499,29.70639617,1,3.098403693,1.071515321
TCS,1.75,0.0022,1.71,0,0.0073,3.221803597,-80.18319037,-8.812026557,1.018399412
TVTY,20.2887,-0.4068,0.662,0,-1.6887,34.972058,0.931112984,4.288646198,0.972695065
CGIX,2.1626,-0.1753,-0.08,0,-1.5232,1.310919428,1,0.045993554,0.958363509
KKR,2.1499,0.1525,0.13,0.0147,-0.0217,3.286404199,-3650.206671,-437.5368721,0.903250891
BBW,0.9635,-0.1329,0.55,0,-0.4869,3.919097827,-149.7656582,-17.56791516,0.793939375
BNFT,0,-0.1371,-5.06,0,-9.2528,-6.67788005,1,-3.501126404,-0.745800951
